Defense: 13																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
																															
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LOLB ADB4:SetPosFromHike(18 0C)	 2pt	 JumpTo BDEC:F4-Pause(00)		 LoopBack FE// 																											
RCB B3C2:SetPosFromMid(36 28)	 2pt	 29-JumpTo BDF0:01-m2m-HB		 LoopBack FE// 29-JumpTo BDF8:03-m2m-WR1	 LoopBack FE// JumpTo B384:C8-Move(94 B9 04)	 F4-Pause(14)	 D8-MoveAbsolute(B8 F8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
LCB B34D:SetPosFromMid(C0 28)	 2pt	 27-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// JumpTo B010:C8-Move(9A B9 03)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																		
FS B3CF:SetPosFromHike(C8 50)	 2pt	 29-JumpTo B3DC:D8-MoveAbsolute(B8 B0)		 JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// 27-JumpTo B3E2:D8-MoveAbsolute(C8 D8)	 JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// JumpTo B397:C8-Move(6C B9 04)	 F4-Pause(14)	 D8-MoveAbsolute(C8 F0)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 														
SS B3E8:SetPosFromHike(18 50)	 2pt	 29-JumpTo B3F2:JumpTo BE86:2E-JumpTo BE98:JumpTo BE10:14-m2m-WR2		 LoopBack EA	 04-m2m-WR2	 LoopBack FE// D8-MoveAbsolute(18 B8)	 D8-MoveAbsolute(20 C0)	 D8-MoveAbsolute(30 C0)	 D9-MoveAbsolute(C0 B8)	 MoveRelative(00 81)	 JumpTo BE10:14-m2m-WR2	 LoopBack EA	 04-m2m-WR2	 LoopBack FE// JumpTo B3AA:C8-Move(66 B9 05)	 29-JumpTo B3BC:D8-MoveAbsolute(C8 90)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F4-Pause(14)	 D8-MoveAbsolute(D8 E8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 									
																															
																															
Defense: D1																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A243:SetPosFromHike(F0 08)	 3pt	Grapple ALL		 DA-PassRush	 LoopBack FC// 																										
LE A226:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(14 08)		 D8-MoveAbsolute(14 14)	 D8-MoveAbsolute(0C 20)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
ROLB A236:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C8 18)		 D8-MoveAbsolute(D0 28)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A141:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E0 10)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LILB A24A:SetPosFromHike(00 18)	 2pt	 D8-MoveAbsolute(FC 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LOLB A254:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(28 00)		 D8-MoveAbsolute(28 20)	 D8-MoveAbsolute(18 34)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
RCB B3F5:SetPosFromMid(36 28)	 2pt	 C8-Move(4B B9 02)		 F4-Pause(32)	 D8-MoveAbsolute(C8 C8)	 D8-MoveAbsolute(E8 D0)	 F4-Pause(32)	 27-JumpTo B40D:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
LCB B413:SetPosFromMid(C0 28)	 2pt	 C8-Move(66 B9 03)		 F4-Pause(46)	 D8-MoveAbsolute(28 E0)	 F4-Pause(46)	 27-JumpTo B428:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
FS B42E:SetPosFromHike(C8 50)	 2pt	 F5-Pause(01 14)		 D8-MoveAbsolute(F8 B8)	 F4-Pause(32)	 24-JumpTo B443:F5-Pause(0A 50)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(00 E0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
SS B470:SetPosFromHike(18 50)	 2pt	 27-JumpTo B449:F4-Pause(46)		 D8-MoveAbsolute(10 D0)	 F4-Pause(3C)	 27-JumpTo B456:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// F5-Pause(0A 1E)	 D8-MoveAbsolute(E0 88)	 F4-Pause(14)	 F5-Pause(01 64)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																
																															
																															
Defense: D2																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A243:SetPosFromHike(F0 08)	 3pt	Grapple ALL		 DA-PassRush	 LoopBack FC// 																										
LE A226:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(14 08)		 D8-MoveAbsolute(14 14)	 D8-MoveAbsolute(0C 20)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
ROLB A236:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C8 18)		 D8-MoveAbsolute(D0 28)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A141:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E0 10)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LILB A24A:SetPosFromHike(00 18)	 2pt	 D8-MoveAbsolute(FC 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LOLB A254:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(28 00)		 D8-MoveAbsolute(28 20)	 D8-MoveAbsolute(18 34)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
RCB B45C:SetPosFromMid(36 28)	 2pt	 26-JumpTo B3F9:C8-Move(4B B9 02)		 F4-Pause(32)	 D8-MoveAbsolute(C8 C8)	 D8-MoveAbsolute(E8 D0)	 F4-Pause(32)	 27-JumpTo B40D:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 																		
LCB B466:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BDFC:04-m2m-WR2		 LoopBack FE// JumpTo B417:C8-Move(66 B9 03)	 F4-Pause(46)	 D8-MoveAbsolute(28 E0)	 F4-Pause(46)	 27-JumpTo B428:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
FS B42E:SetPosFromHike(C8 50)	 2pt	 F5-Pause(01 14)		 D8-MoveAbsolute(F8 B8)	 F4-Pause(32)	 24-JumpTo B443:F5-Pause(0A 50)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(00 E0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																				
SS B470:SetPosFromHike(18 50)	 2pt	 27-JumpTo B449:F4-Pause(46)		 D8-MoveAbsolute(10 D0)	 F4-Pause(3C)	 27-JumpTo B456:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// F5-Pause(0A 1E)	 D8-MoveAbsolute(E0 88)	 F4-Pause(14)	 F5-Pause(01 64)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																
																															
																															
Defense: D3																															
																															
RE A110:SetPosFromHike(D8 08)	 3pt	 FC(04 00)		 D8-MoveAbsolute(D8 10)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT A243:SetPosFromHike(F0 08)	 3pt	Grapple ALL		 DA-PassRush	 LoopBack FC// 																										
LE A226:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(14 08)		 D8-MoveAbsolute(14 14)	 D8-MoveAbsolute(0C 20)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
ROLB A236:SetPosFromHike(C8 10)	 2pt	 D8-MoveAbsolute(C8 18)		 D8-MoveAbsolute(D0 28)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
RILB A141:SetPosFromHike(E0 18)	 2pt	 D8-MoveAbsolute(E0 10)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LILB A24A:SetPosFromHike(00 18)	 2pt	 D8-MoveAbsolute(FC 0C)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LOLB A254:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(28 00)		 D8-MoveAbsolute(28 20)	 D8-MoveAbsolute(18 34)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																							
RCB B45C:SetPosFromMid(36 28)	 2pt	 26-JumpTo B3F9:C8-Move(4B B9 02)		 F4-Pause(32)	 D8-MoveAbsolute(C8 C8)	 D8-MoveAbsolute(E8 D0)	 F4-Pause(32)	 27-JumpTo B40D:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 																		
LCB B466:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BDFC:04-m2m-WR2		 LoopBack FE// JumpTo B417:C8-Move(66 B9 03)	 F4-Pause(46)	 D8-MoveAbsolute(28 E0)	 F4-Pause(46)	 27-JumpTo B428:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																			
FS B485:SetPosFromHike(C8 50)	 2pt	 27-JumpTo B432:F5-Pause(01 14)		 D8-MoveAbsolute(F8 B8)	 F4-Pause(32)	 24-JumpTo B443:F5-Pause(0A 50)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(00 E0)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// 																	
SS B48F:SetPosFromHike(18 50)	 2pt	 27-JumpTo B474:27-JumpTo B449:F4-Pause(46)		 D8-MoveAbsolute(10 D0)	 F4-Pause(3C)	 27-JumpTo B456:F5-Pause(01 1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// F5-Pause(0A 1E)	 D8-MoveAbsolute(E0 88)	 F4-Pause(14)	 F5-Pause(01 64)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2	 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 												
																															
																															
Defense: D4																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEE5:SetPosFromHike(C8 10)	 2pt	 C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB B4DA:SetPosFromHike(E0 18)	 2pt	 C8-Move(BC B9 06)		 D8-MoveAbsolute(D0 00)	 D8-MoveAbsolute(D0 18)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LILB B4EE:SetPosFromHike(00 18)	 2pt	 C8-Move(CB B9 07)		 D8-MoveAbsolute(18 08)	 D8-MoveAbsolute(18 18)	 F4-Pause(3C)	 F5-Pause(1E 8C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
LOLB BF09:SetPosFromHike(18 0C)	 2pt	 29-JumpTo BF14:D8-MoveAbsolute(1C 08)		 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(00 BE 0C)	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																	
RCB B499:SetPosFromMid(36 28)	 2pt	 C8-Move(6C B9 02)		 F4-Pause(14)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																									
LCB B4A6:SetPosFromMid(C0 28)	 2pt	 C8-Move(8E B9 03)		 F4-Pause(1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																									
FS B4B3:SetPosFromHike(C8 50)	 2pt	 C8-Move(88 B9 04)		 D8-MoveAbsolute(E8 81)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																									
SS B4C1:SetPosFromHike(18 50)	 2pt	 C8-Move(4B B9 05)		 MoveRelative(00 C8)	 MoveRelative(F0 00)	 F4-Pause(3C)	 27-JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// MoveRelative(E8 20)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																					
																															
																															
Defense: D5																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEE5:SetPosFromHike(C8 10)	 2pt	 C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB B4DA:SetPosFromHike(E0 18)	 2pt	 C8-Move(BC B9 06)		 D8-MoveAbsolute(D0 00)	 D8-MoveAbsolute(D0 18)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LILB B4EE:SetPosFromHike(00 18)	 2pt	 C8-Move(CB B9 07)		 D8-MoveAbsolute(18 08)	 D8-MoveAbsolute(18 18)	 F4-Pause(3C)	 F5-Pause(1E 8C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
LOLB BF09:SetPosFromHike(18 0C)	 2pt	 29-JumpTo BF14:D8-MoveAbsolute(1C 08)		 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(00 BE 0C)	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																	
RCB B504:SetPosFromMid(36 28)	 2pt	 29-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// 27-JumpTo BDF4:02-m2m-FB	 LoopBack FE// D9-MoveAbsolute(36 20)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// 																								
LCB B514:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BDFC:04-m2m-WR2		 LoopBack FE// 29-JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B4AA:C8-Move(8E B9 03)	 F4-Pause(1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																							
FS B4B3:SetPosFromHike(C8 50)	 2pt	 C8-Move(88 B9 04)		 D8-MoveAbsolute(E8 81)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																									
SS B4C1:SetPosFromHike(18 50)	 2pt	 C8-Move(4B B9 05)		 MoveRelative(00 C8)	 MoveRelative(F0 00)	 F4-Pause(3C)	 27-JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// MoveRelative(E8 20)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																					
																															
																															
Defense: D6																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEE5:SetPosFromHike(C8 10)	 2pt	 C8-Move(7C B9 09)		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB B521:SetPosFromHike(E0 18)	 2pt	 27-JumpTo B4DE:C8-Move(BC B9 06)		 D8-MoveAbsolute(D0 00)	 D8-MoveAbsolute(D0 18)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(C0 18)	 D8-MoveAbsolute(C0 28)	 JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// 																	
LILB B4EE:SetPosFromHike(00 18)	 2pt	 C8-Move(CB B9 07)		 D8-MoveAbsolute(18 08)	 D8-MoveAbsolute(18 18)	 F4-Pause(3C)	 F5-Pause(1E 8C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
LOLB BF09:SetPosFromHike(18 0C)	 2pt	 29-JumpTo BF14:D8-MoveAbsolute(1C 08)		 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(00 BE 0C)	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																	
RCB B504:SetPosFromMid(36 28)	 2pt	 29-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// 27-JumpTo BDF4:02-m2m-FB	 LoopBack FE// D9-MoveAbsolute(36 20)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// 																								
LCB B514:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BDFC:04-m2m-WR2		 LoopBack FE// 29-JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B4AA:C8-Move(8E B9 03)	 F4-Pause(1E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																							
FS B531:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BE0C:13-m2m-WR1		 LoopBack EA	 03-m2m-WR1	 LoopBack FE// JumpTo BE08:12-m2m-FB	 LoopBack EA	 02-m2m-FB	 LoopBack FE// 																						
SS B53B:SetPosFromHike(18 50)	 2pt	 27-JumpTo BE14:15-m2m-TE		 LoopBack EA	 05-m2m-TE	 LoopBack FE// JumpTo BE10:14-m2m-WR2	 LoopBack EA	 04-m2m-WR2	 LoopBack FE// 																						
																															
																															
Defense: D7																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC81:SetPosFromHike(E0 18)	 2pt	 JumpTo AFDF:MoveRelative(00 20)		 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
LILB BC6C:SetPosFromHike(00 18)	 2pt	 C8-Move(C5 B9 07)		 JumpTo AFF0:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF09:SetPosFromHike(18 0C)	 2pt	 29-JumpTo BF14:D8-MoveAbsolute(1C 08)		 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(00 BE 0C)	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																	
RCB BC56:SetPosFromMid(36 28)	 2pt	 C8-Move(88 B9 02)		 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB B00C:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
FS B545:SetPosFromHike(C8 50)	 2pt	 C8-Move(4B B9 04)		 D8-MoveAbsolute(C0 E0)	 D8-MoveAbsolute(C0 08)	 F4-Pause(C8)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																							
SS B558:SetPosFromHike(18 50)	 2pt	 C8-Move(51 B9 05)		 27-JumpTo B56B:D8-MoveAbsolute(F0 98)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(F0 E8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																			
																															
																															
Defense: D8																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC81:SetPosFromHike(E0 18)	 2pt	 JumpTo AFDF:MoveRelative(00 20)		 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																								
LILB BC6C:SetPosFromHike(00 18)	 2pt	 C8-Move(C5 B9 07)		 JumpTo AFF0:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF09:SetPosFromHike(18 0C)	 2pt	 29-JumpTo BF14:D8-MoveAbsolute(1C 08)		 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// C8-Move(00 BE 0C)	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																	
RCB B571:SetPosFromMid(36 28)	 2pt	 29-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// 29-JumpTo BE28:2E-JumpTo BE33:JumpTo BDF4:02-m2m-FB	 LoopBack FE// F4-Pause(1E)	 D8-MoveAbsolute(C8 C0)	 MoveRelative(00 81)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// JumpTo AFFD:C8-Move(94 B9 02)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																
LCB B57E:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 29-JumpTo B58B:D8-MoveAbsolute(1C D8)	 JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B010:C8-Move(9A B9 03)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																
FS B545:SetPosFromHike(C8 50)	 2pt	 C8-Move(4B B9 04)		 D8-MoveAbsolute(C0 E0)	 D8-MoveAbsolute(C0 08)	 F4-Pause(C8)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																							
SS B558:SetPosFromHike(18 50)	 2pt	 C8-Move(51 B9 05)		 27-JumpTo B56B:D8-MoveAbsolute(F0 98)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(F0 E8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																			
																															
																															
Defense: D9																															
																															
